coin_id,PC1,PC2,PC3
bitcoin,-0.6006673254375129,0.8427600624855451,0.4615945681105945
ethereum,-0.4582607140103164,0.45846566446288595,0.9528767837135818
tether,-0.433069805136573,-0.1681263816932487,-0.6417519291406769
ripple,-0.4718349487389057,-0.2226600769600915,-0.47905315757557143
bitcoin-cash,-1.1577999724406207,2.041209185241848,1.8597152736981126
binancecoin,-0.5165337697386225,1.38837748186259,0.8040713050022812
chainlink,-0.4507113399717288,0.5176991167274062,2.8461431574752774
cardano,-0.34559976661690905,0.7294393945322942,1.4780128444941132
litecoin,-0.6494679214405749,0.43216513770740894,0.6003028588105243
bitcoin-cash-sv,-0.7590139422969434,-0.20119978804155517,-0.2176529181535071
crypto-com-chain,-0.248198464723805,-1.3762515898012426,-1.4620257131124945
usd-coin,-0.43840762223600793,-0.17533654196886234,-0.6633884037364073
eos,-0.6934253333100084,-0.4738146235496417,-0.5275969255267904
monero,0.06049914778111438,2.909403851836779,1.4985713063809956
tron,-0.39335242578563007,-0.1081919746249398,-0.012756080213432785
tezos,-0.7961756359232413,-0.4944087524150421,1.0828116910517571
okb,0.06407451856194595,-1.2698251355978087,-1.0988292750751882
stellar,-0.48901506102156306,-0.7327191199192641,-0.06254323300898437
cosmos,-0.30627229767490094,0.7034151468998132,1.71422358641934
cdai,-0.5135277531437935,-0.14280239241374407,-0.6565658346817504
neo,-0.36212043607189565,-0.986914408011461,-0.7287523216679128
wrapped-bitcoin,-0.6042646308186945,0.8273976353815292,0.43931593833961163
leo-token,-0.41329560357216516,-0.6741152680768113,-1.076628338355733
huobi-token,-0.4074830358443067,-0.21250654705338912,-0.3514256276663248
nem,0.6089738213442405,0.5635321240704209,-1.1487415949964528
binance-usd,-0.45021114110679133,-0.15101945266574943,-0.6474006119131067
iota,-0.7646652213141093,-0.5178855387924557,0.20499029001818622
vechain,-0.5563146750187805,-1.93820905953801,-1.2617758874503502
zcash,-0.4251467742977174,0.49297617254508425,1.0580483724870304
theta-token,2.6768676123255,-0.01395409962135661,-1.9652072219391354
dash,-0.6139227463582059,-0.47933680290428937,0.33956513273829003
ethereum-classic,-0.5799239778770816,-0.35633377052316106,-0.11494201872557652
ethlend,8.08901821476558,-3.8968905354865555,2.30138207649376
maker,-0.38904525957800634,0.1650406340728082,0.37941369715552636
havven,0.8657618298532807,-2.2618823859082164,0.2755828914028054
omisego,0.11167508357409747,0.42831576443907704,-1.2053979663131371
celsius-degree-token,4.792395401459662,6.767678675262234,-1.9869854471135184
ontology,-0.6323549165416863,-2.10811712833404,-0.6522273846771964
ftx-token,-0.5931421641297331,0.021484962427638584,0.2099114175636677
true-usd,-0.4581305024102723,-0.1357340336216228,-0.6352835704640614
digibyte,-0.2979104450783165,-0.1911256024328032,-0.9096017298481475
